output_name,epoch,time,load_1,load_5,load_15,memory_free,cpu-user,cpu-system,cpu-steal,cpu-softirq,cpu-nice,cpu-irq,cpu-iowait,cpu-idle,cpu_percentage
dafav1,1678104183,2023-03-06 19:03:03 ,4.87,4.87,4.99,258953216.0,1012631.25,13400.23,861.6300000000001,7380.04,125.03,0.0,102.87,791202.2799999999,76.54528887839822
dafav1,1678104303,2023-03-06 19:05:03 ,5.12,4.79,4.94,224722944.0,1013107.78,13402.58,861.74,7381.120000000001,125.03,0.0,102.87,791202.2799999999,76.5097623448465
dafav1,1678104423,2023-03-06 19:07:03 ,4.88,4.98,5.0,251424768.0,1013558.13,13418.55,861.88,7394.710000000001,125.03,0.0,102.87,791202.2799999999,76.47427246929581
dafav1,1678104543,2023-03-06 19:09:03 ,5.73,5.12,5.04,257572864.0,1014005.99,13436.42,862.0,7408.870000000001,125.03,0.0,102.87,791202.2799999999,76.4388169801657
dafav1,1678104663,2023-03-06 19:11:03 ,4.23,4.74,4.9,257179648.0,1014484.2,13437.660000000002,862.5600000000001,7408.89,125.03,0.0,102.87,791202.2799999999,76.4034253395498
dafav1,1678104783,2023-03-06 19:13:03 ,4.38,4.75,4.89,243257344.0,1014932.46,13454.5,862.71,7423.68,125.03,0.0,102.87,791202.2799999999,76.36803549798445
dafav1,1678104903,2023-03-06 19:15:03 ,16.62,8.0,5.98,205205504.0,1015354.64,13477.18,862.85,7434.18,125.03,0.0,102.88000000000001,791226.7899999999,76.33684890632881
dafav1,1678105023,2023-03-06 19:17:03 ,5.93,6.9,5.83,259059712.0,1015830.8700000001,13480.05,863.01,7434.950000000001,125.03,0.0,102.88000000000001,791226.7899999999,76.30152326513017
dafav1,1678105143,2023-03-06 19:19:03 ,9.4,9.03,6.81,241238016.0,1016276.83,13502.890000000001,863.1500000000001,7446.02,125.03,0.0,102.88000000000001,791226.7899999999,76.26623030339717
dafav1,1678105263,2023-03-06 19:21:03 ,16.62,10.57,7.56,203501568.0,1016728.19,13522.58,863.29,7454.87,125.03,0.0,102.88000000000001,791226.7899999999,76.23096777245519
dafav1,1678105383,2023-03-06 19:23:03 ,6.2,8.86,7.32,242454528.0,1017201.5,13527.34,863.4200000000001,7456.7,125.03,0.0,102.88000000000001,791226.7899999999,76.19573783448202
dafav1,1678105503,2023-03-06 19:25:03 ,9.94,10.4,8.13,261308416.0,1017647.09,13550.789999999999,863.56,7467.54,125.03,0.0,102.88000000000001,791226.7899999999,76.16054191049622
dafav1,1678105623,2023-03-06 19:27:03 ,15.92,11.24,8.63,208052224.0,1018100.4099999999,13569.220000000001,863.7,7475.719999999999,125.03,0.0,102.88000000000001,791226.7899999999,76.12537482443987
dafav1,1678105743,2023-03-06 19:29:03 ,6.41,9.57,8.37,229576704.0,1018569.39,13577.179999999998,863.84,7478.65,125.03,0.0,102.88000000000001,791226.7899999999,76.09024459059904
dafav1,1678105863,2023-03-06 19:31:03 ,10.76,11.1,9.12,221347840.0,1019014.29,13601.220000000001,864.04,7489.54,125.03,0.0,102.88000000000001,791226.7899999999,76.05514968976854
dafav1,1678105983,2023-03-06 19:33:03 ,15.2,11.39,9.38,188485632.0,1019471.17,13617.25,864.1700000000001,7496.530000000001,125.03,0.0,102.88000000000001,791226.7899999999,76.0200820347281
dafav1,1678106103,2023-03-06 19:35:03 ,6.62,9.9,9.13,227618816.0,1019937.06,13627.66,864.28,7500.13,125.03,0.0,102.88000000000001,791226.7899999999,75.98504670290801
dafav1,1678106223,2023-03-06 19:37:03 ,11.95,11.44,9.81,253571072.0,1020381.7899999999,13651.779999999999,864.46,7511.15,125.03,0.0,102.88000000000001,791226.7899999999,75.95004583677726
dafav1,1678106343,2023-03-06 19:39:03 ,14.3,11.27,9.87,200392704.0,1020839.9600000001,13666.869999999999,864.6,7517.709999999999,125.03,0.0,102.88000000000001,791226.82,75.9150837208394
dafav1,1678106463,2023-03-06 19:41:03 ,6.83,10.08,9.65,242114560.0,1021302.2100000001,13679.05,864.9100000000001,7523.0199999999995,125.03,0.0,102.88000000000001,791226.82,75.88015672557302
dafav1,1678106583,2023-03-06 19:43:03 ,12.55,11.59,10.26,240029696.0,1021746.3200000001,13703.56,865.0500000000001,7534.31,125.03,0.0,102.88000000000001,791226.82,75.84524949432621
dafav1,1678106703,2023-03-06 19:45:03 ,13.1,11.0,10.14,205029376.0,1022210.09,13715.130000000001,865.17,7538.87,125.03,0.0,102.88000000000001,791226.82,75.81037509150208
dafav1,1678106823,2023-03-06 19:47:03 ,6.94,10.03,9.94,245235712.0,1022668.98,13729.76,865.43,7545.11,125.03,0.0,102.88000000000001,791226.82,75.77554290493357
dafav1,1678106943,2023-03-06 19:49:03 ,12.62,11.36,10.44,232202240.0,1023112.5,13755.02,865.5799999999999,7556.209999999999,125.03,0.0,102.88000000000001,791226.82,75.7407340115792
dafav1,1678107063,2023-03-06 19:51:03 ,12.51,10.65,10.22,197038080.0,1023580.2999999999,13763.779999999999,865.72,7559.52,125.03,0.0,102.88000000000001,791226.82,75.7059578081231
dafav1,1678107183,2023-03-06 19:53:03 ,7.08,10.1,10.14,244572160.0,1024012.2999999999,13780.17,865.89,7567.28,125.03,0.0,102.88000000000001,791250.1599999999,75.6751624249276
dafav1,1678107303,2023-03-06 19:55:03 ,14.94,11.77,10.7,233574400.0,1024457.47,13804.07,866.0699999999999,7578.09,125.03,0.0,102.88000000000001,791250.1599999999,75.64044669620472
